Nom du projet,Date de début,Date de fin,Joindre un fichier,Personne assignée,Priorité,Équipe,État
Récupérer tous les projets VR,,,,,Élevée,,Terminé
Faire un choix de 5 projets,,,,,Élevée,,Terminé
Strategie de com_,,,,,Moyenne,,Terminé
Migration -La balade enchanté- vers metaquest 3,,,,,Moyenne,,En cours
Migration -Elephantastique- vers metaquest 3,,,,,Moyenne,,En cours
"Migratration Voyage monde kana vers metaquest 3 : ",,,,,Élevée,,En cours
"Fix joystick mouvement ",,,,,Élevée,,En cours
Migration -Le grand voyage- vers metaquest 3,,,,,Élevée,,Pas commencé
"Soirée ",,06/26/2025 18:00 (UTC+11) → 22:00,,,Élevée,,Pas commencé
Fresque numérique,,,,,Élevée,,Pas commencé
Documentation/DI,,,,,Moyenne,,Pas commencé
Organisation des salles,,06/26/2025,,,Moyenne,,En cours
Contacter les alumni,,,,,Moyenne,,En cours
Listé les packages manquants,,,,,,,En cours
Animations des animaux 3D,,,,,Élevée,,En cours
Gestion du parcours d’un objet,,,,,Élevée,,En cours
