Nom du projet,Personne assignée,État,Date de début,Date de fin,Priorité,Équipe,Joindre un fichier
Récupérer tous les projets VR,,Terminé,,,Élevée,,
Faire un choix de 5 projets,,Terminé,,,Élevée,,
Strategie de com_,,Terminé,,,Moyenne,,
"Migratration Voyage monde kana vers metaquest 3 : ",,En cours,,,Élevée,,
"Fix joystick mouvement ",,En cours,,,Élevée,,
Migration -Elephantastique- vers metaquest 3,,En cours,,,Moyenne,,
Migration -La balade enchanté- vers metaquest 3,,En cours,,,Moyenne,,
Migration -Le grand voyage- vers metaquest 3,,Pas commencé,,,Élevée,,
"Soirée ",,Pas commencé,,06/26/2025 18:00 (UTC+11) → 22:00,Élevée,,
Organisation des salles,,En cours,,06/26/2025,Moyenne,,
Fresque numérique,,Pas commencé,,,Élevée,,
Contacter les alumni,,En cours,,,Moyenne,,
